Solvent Name,Energy,Free Energy,JobID,SMILES,Solvent Inchi,deltaG_Sol-Wat(kcal/mol),logP at 25C
CHLOROBENZENE,-76.4328393,-76.42953115, job_83 ,C1=CC=C(C=C1)Cl,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,4.306613092264352,-3.1565250308649677
1-IODOPENTANE,-76.43284404,-76.42953606, job_24 ,CCCCCI,"InChI=1S/C5H11I/c1-2-3-4-5-6/h2-5H2,1H3",4.30353202307357,-3.154266766234695
1-CHLOROHEXANE,-76.43285099,-76.42954533, job_13 ,CCCCCCCl,"InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3",4.297715014648269,-3.150003199411802
1-BROMOPENTANE,-76.43293155,-76.42962821, job_10 ,CCCCCBr,"InChI=1S/C5H11Br/c1-2-3-4-5-6/h2-5H2,1H3",4.245707068723318,-3.1118840604042006
1-IODOBUTANE,-76.43296877,-76.42966468, job_22 ,CCCCI,"InChI=1S/C4H9I/c1-2-3-4-5/h2-4H2,1H3",4.22282181549474,-3.095110351434745
1-CHLOROPENTANE,-76.4330008,-76.42969944, job_14 ,CCCCCCl,"InChI=1S/C5H11Cl/c1-2-3-4-5-6/h2-5H2,1H3",4.201009602660229,-3.0791231256692453
IODOMETHANE,-76.43300055,-76.42970026, job_131 ,CI,InChI=1S/CH3I/c1-2/h1H3,4.200495045273325,-3.078745981673074
FLUOROBENZENE,-76.43304032,-76.42973162, job_122 ,C1=CC=C(C=C1)F,InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H,4.180816363036994,-3.0643225236742606
1-IODOPROPANE,-76.43307513,-76.42977598, job_25 ,CCCI,"InChI=1S/C3H7I/c1-2-3-4/h2-3H2,1H3",4.152980063794508,-3.0439199536167405
BUTANOIC ACID,-76.43320487,-76.42982366, job_73 ,CCCC(=O)O,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)",4.123060434677995,-3.0219904103312967
O-DICHLOROBENZENE,-76.43312873,-76.4298401, job_99 ,C1=CC=C(C(=C1)Cl)Cl,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,4.1127441867115815,-3.0144291332365225
PENTYL ETHANOATE,-76.43318548,-76.42987166, job_154 ,CCCCCOC(=O)C,"InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3",4.092940002673784,-2.999913688897339
IODOETHANE,-76.43318392,-76.4298883, job_130 ,CCI,"InChI=1S/C2H5I/c1-2-3/h2H2,1H3",4.082498252914822,-2.9922604254687304
DIETHYL ETHER,-76.43326392,-76.42994533, job_103 ,CCOCC,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",4.046711414648854,-2.966030520821631
BUTYL ETHANOATE,-76.43326172,-76.42995099, job_76 ,CCCCOC(=O)C,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",4.043159713709261,-2.963427307419872
1-BROMOPROPANE,-76.43324795,-76.42995494, job_11 ,CCCBr,"InChI=1S/C3H7Br/c1-2-3-4/h2-3H2,1H3",4.040681053154818,-2.9616105772155334
1-BROMO-2-METHYLPROPANE,-76.43325814,-76.42996415, job_8 ,CC(C)CBr,"InChI=1S/C4H9Br/c1-4(2)3-5/h4H,3H2,1-2H3",4.034901695263715,-2.9573746062901765
"1,1,1-TRICHLOROETHANE",-76.43326467,-76.42996771, job_1 ,CC(Cl)(Cl)Cl,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",4.0326677632261445,-2.955737249452501
A-CHLOROTOLUENE,-76.43327088,-76.42997132, job_85 ,C1=CC=C(C=C1)CCl,"InChI=1S/C7H7Cl/c8-6-7-4-2-1-3-5-7/h1-5H,6H2",4.03040245573152,-2.954076896024831
DIETHYL SULFIDE,-76.43327771,-76.42997276, job_104 ,CCSCC,"InChI=1S/C4H10S/c1-3-5-4-2/h3-4H2,1-2H3",4.029498842777011,-2.95341459438593
THIOPHENOL,-76.4332363,-76.43004833, job_168 ,C1=CC=C(C=C1)S,"InChI=1S/C6H6S/c7-6-4-2-1-3-5-6/h1-5,7H",3.9820779876426067,-2.9186575560799723
ETHANETHIOL,-76.43334838,-76.43004979, job_116 ,CCS,"InChI=1S/C2H6S/c1-2-3/h3H,2H2,1H3",3.98116182450706,-2.917986055806381
